,Datetime,Open,High,Low,Close
0,2021-06-18 12:59:59.999,33.45,33.45,31.33,31.88
1,2021-06-18 12:59:59.999,33.45,33.45,31.33,31.88
2,2021-06-18 12:59:59.999,33.45,33.45,31.33,31.88
3,2021-06-18 13:59:59.999,31.95,32.05,31.67,31.81
4,2021-06-18 14:59:59.999,31.82,31.82,31.33,31.35
5,2021-06-18 15:59:59.999,31.48,31.53,31.03,31.11
6,2021-06-18 16:59:59.999,31.1,31.14,30.55,30.79
7,2021-06-18 17:59:59.999,30.81,30.97,30.36,30.42
8,2021-06-18 18:59:59.999,30.34,30.6,30.27,30.42
9,2021-06-18 19:59:59.999,30.47,30.47,29.98,30.0
10,2021-06-18 20:59:59.999,30.0,30.06,29.0,29.1
11,2021-06-18 21:59:59.999,29.15,29.39,29.09,29.13
12,2021-06-18 22:59:59.999,29.11,29.69,29.11,29.44
13,2021-06-18 23:59:59.999,29.48,29.7,29.4,29.7
14,2021-06-19 00:59:59.999,29.65,29.69,28.0,29.58
15,2021-06-19 01:59:59.999,29.56,29.84,29.45,29.74
16,2021-06-19 02:59:59.999,29.74,29.85,29.64,29.74
17,2021-06-19 03:59:59.999,29.99,30.07,29.89,30.0
18,2021-06-19 04:59:59.999,30.02,30.04,29.53,29.56
19,2021-06-19 05:59:59.999,29.51,29.51,28.99,29.31
20,2021-06-19 06:59:59.999,29.25,29.62,29.25,29.33
21,2021-06-19 07:59:59.999,29.51,29.95,29.48,29.8
22,2021-06-19 08:59:59.999,29.87,29.95,29.73,29.9
23,2021-06-19 09:59:59.999,29.89,29.91,29.62,29.91
24,2021-06-19 10:59:59.999,29.93,30.07,29.83,30.0
25,2021-06-19 11:59:59.999,30.03,30.1,29.77,29.83
26,2021-06-19 12:59:59.999,29.87,29.98,29.75,29.78
27,2021-06-19 13:59:59.999,29.8,30.01,29.8,29.99
28,2021-06-19 14:59:59.999,29.96,30.46,29.89,29.9
29,2021-06-19 15:59:59.999,29.89,30.03,29.82,30.03
30,2021-06-19 16:59:59.999,30.15,30.32,30.11,30.3
31,2021-06-19 17:59:59.999,30.39,30.45,30.08,30.27
32,2021-06-19 18:59:59.999,30.32,30.33,30.0,30.03
33,2021-06-19 19:59:59.999,30.1,30.1,29.93,29.93
34,2021-06-19 20:59:59.999,29.87,29.87,29.59,29.73
35,2021-06-19 21:59:59.999,29.73,30.09,29.72,30.0
36,2021-06-19 22:59:59.999,29.98,30.06,29.81,30.06
37,2021-06-19 23:59:59.999,30.0,30.04,29.83,29.83
38,2021-06-20 00:59:59.999,29.81,29.81,29.53,29.55
39,2021-06-20 01:59:59.999,29.51,29.72,29.43,29.44
40,2021-06-20 02:59:59.999,29.4,29.59,29.17,29.36
41,2021-06-20 03:59:59.999,29.47,29.69,29.47,29.69
42,2021-06-20 04:59:59.999,29.56,29.76,29.39,29.76
43,2021-06-20 05:59:59.999,29.73,29.91,29.68,29.85
44,2021-06-20 06:59:59.999,29.71,30.04,29.69,30.03
45,2021-06-20 07:59:59.999,30.06,30.13,29.98,30.07
46,2021-06-20 08:59:59.999,30.0,30.08,30.0,30.08
